Person Number,Element Name,Effective Start Date,Effective End Date,Input Value Name,Pension opt out date
391,Classic Civil Servant Pension,12/12/1988,31/03/2020,Enrolment Date,
392,Classic Civil Servant Pension,19/09/1988,30/06/2020,Enrolment Date,
394,Classic Civil Servant Pension,12/09/1988,31/03/2022,Enrolment Date,
395,Alpha Pension Scheme,08/05/1989,30/11/2018,Enrolment Date,
396,Alpha Pension Scheme,04/07/1988,31/01/2022,Enrolment Date,
397,Alpha Pension Scheme,17/10/1988,28/02/2019,Enrolment Date,
398,Classic Civil Servant Pension,07/11/1988,31/03/2021,Enrolment Date,
399,Classic Civil Servant Pension,03/10/1988,30/11/2021,Enrolment Date,
400,Alpha Pension Scheme,05/09/1988,30/11/2018,Enrolment Date,
401,Alpha Pension Scheme,01/05/2022,31/10/2022,Enrolment Date,
402,Classic Civil Servant Pension,31/10/1988,31/01/2022,Enrolment Date,
403,Classic Civil Servant Pension,19/09/1988,31/03/2021,Enrolment Date,
404,Classic Civil Servant Pension,19/09/1988,31/08/2019,Enrolment Date,
405,Classic Civil Servant Pension,26/09/1988,31/03/2020,Enrolment Date,
406,Alpha Pension Scheme,26/09/1988,31/10/2022,Enrolment Date,
407,Classic Civil Servant Pension,07/11/1988,30/04/2022,Enrolment Date,
408,Alpha Pension Scheme,03/01/1989,30/09/2022,Enrolment Date,
410,Alpha Pension Scheme,24/10/1988,31/03/2022,Enrolment Date,
411,Alpha Pension Scheme,14/11/1988,31/07/2021,Enrolment Date,
412,Alpha Pension Scheme,01/04/2022,31/10/2022,Enrolment Date,
413,Alpha Pension Scheme,01/04/2022,30/06/2022,Enrolment Date,
414,Alpha Pension Scheme,10/10/1988,31/07/2021,Enrolment Date,
415,Alpha Pension Scheme,07/11/1988,31/08/2022,Enrolment Date,
416,Classic Civil Servant Pension,31/10/1988,31/07/2021,Enrolment Date,
417,Alpha Pension Scheme,01/04/2022,31/10/2022,Enrolment Date,
418,Classic Civil Servant Pension,24/10/1988,31/03/2020,Enrolment Date,
419,Alpha Pension Scheme,24/10/1988,31/10/2022,Enrolment Date,
420,Classic Civil Servant Pension,05/09/1988,31/05/2022,Enrolment Date,
421,Classic Civil Servant Pension,01/08/1988,31/05/2022,Enrolment Date,
422,Classic Civil Servant Pension,19/09/1988,31/10/2020,Enrolment Date,
423,Classic Civil Servant Pension,30/01/1989,31/10/2020,Enrolment Date,
424,Classic Civil Servant Pension,28/11/1988,31/10/2022,Enrolment Date,
425,Classic Civil Servant Pension,02/05/1989,31/03/2021,Enrolment Date,
426,Alpha Pension Scheme,09/01/1989,30/06/2019,Enrolment Date,
428,Alpha Pension Scheme,01/04/2022,30/06/2022,Enrolment Date,
429,Classic Civil Servant Pension,03/01/1989,31/03/2021,Enrolment Date,
430,Alpha Pension Scheme,03/01/1989,28/02/2022,Enrolment Date,
431,Alpha Pension Scheme,06/02/1989,31/07/2019,Enrolment Date,
432,Alpha Pension Scheme,01/02/1989,31/07/2021,Enrolment Date,
433,Classic Civil Servant Pension,08/05/1989,31/03/2021,Enrolment Date,
434,Classic Civil Servant Pension,06/02/1989,30/11/2019,Enrolment Date,
435,Classic Civil Servant Pension,21/11/1988,31/10/2020,Enrolment Date,
436,Classic Civil Servant Pension,09/01/1989,31/01/2022,Enrolment Date,
437,Classic Civil Servant Pension,06/03/1989,30/04/2021,Enrolment Date,
438,Classic Civil Servant Pension,03/04/1989,31/03/2022,Enrolment Date,
439,Alpha Pension Scheme,01/03/1989,30/06/2022,Enrolment Date,
440,Classic Civil Servant Pension,10/04/1989,31/05/2021,Enrolment Date,
441,Classic Civil Servant Pension,03/07/1989,31/12/2019,Enrolment Date,
442,Classic Civil Servant Pension,03/04/1989,31/01/2022,Enrolment Date,
443,Alpha Pension Scheme,01/04/2022,31/10/2022,Enrolment Date,
444,Classic Civil Servant Pension,03/04/1989,30/11/2021,Enrolment Date,
445,Classic Civil Servant Pension,20/03/1989,31/03/2022,Enrolment Date,
446,Alpha Pension Scheme,17/04/1989,30/09/2019,Enrolment Date,
447,Classic Civil Servant Pension,03/04/1989,31/10/2022,Enrolment Date,
448,Premium Civil Servant Pension,12/06/1989,30/09/2020,Enrolment Date,
449,Alpha Pension Scheme,24/04/1989,31/03/2020,Enrolment Date,
450,Classic Civil Servant Pension,02/05/1989,31/08/2021,Enrolment Date,
451,Alpha Pension Scheme,07/08/1989,31/01/2019,Enrolment Date,
452,Alpha Pension Scheme,18/09/1989,31/10/2022,Enrolment Date,
453,Classic Civil Servant Pension,17/04/1989,31/10/2022,Enrolment Date,
456,Alpha Pension Scheme,03/04/1989,30/06/2022,Enrolment Date,
457,Alpha Pension Scheme,01/07/1991,31/10/2021,Enrolment Date,
458,Classic Civil Servant Pension,27/04/1992,30/11/2019,Enrolment Date,
459,Alpha Pension Scheme,27/04/1992,30/06/2022,Enrolment Date,
460,Alpha Pension Scheme,25/09/1989,31/12/2019,Enrolment Date,
461,Classic Plus Civil Servant Pension,03/07/1989,30/04/2020,Enrolment Date,
462,Classic Civil Servant Pension,13/10/1997,31/07/2020,Enrolment Date,
463,Alpha Pension Scheme,22/05/1989,31/07/2022,Enrolment Date,
464,Alpha Pension Scheme,05/06/1989,31/10/2022,Enrolment Date,
465,Alpha Pension Scheme,01/04/2022,31/10/2022,Enrolment Date,
466,Alpha Pension Scheme,01/04/2022,31/10/2022,Enrolment Date,
467,Alpha Pension Scheme,01/04/2022,31/07/2022,Enrolment Date,
468,Classic Civil Servant Pension,30/05/1989,31/05/2022,Enrolment Date,
469,Alpha Pension Scheme,10/07/1989,30/11/2021,Enrolment Date,
470,Classic Civil Servant Pension,21/08/1989,31/05/2022,Enrolment Date,
471,Classic Civil Servant Pension,02/03/1998,30/06/2021,Enrolment Date,
472,Classic Civil Servant Pension,04/06/2001,30/04/2022,Enrolment Date,
473,Classic Civil Servant Pension,02/05/1989,31/03/2019,Enrolment Date,
474,Classic Civil Servant Pension,16/01/1990,31/03/2021,Enrolment Date,
475,Classic Civil Servant Pension,27/11/1989,31/10/2021,Enrolment Date,
476,Classic Civil Servant Pension,13/11/1989,31/03/2020,Enrolment Date,
478,Classic Civil Servant Pension,07/11/1983,31/10/2022,Enrolment Date,
479,Alpha Pension Scheme,01/04/2022,30/04/2022,Enrolment Date,
480,Classic Civil Servant Pension,01/06/1998,31/08/2021,Enrolment Date,
482,Premium Civil Servant Pension,08/05/1990,30/09/2020,Enrolment Date,
483,Classic Civil Servant Pension,04/06/1990,31/01/2022,Enrolment Date,
484,Alpha Pension Scheme,30/04/1990,31/05/2022,Enrolment Date,
485,Alpha Pension Scheme,08/05/1990,31/05/2021,Enrolment Date,
486,Classic Civil Servant Pension,08/07/1991,30/11/2019,Enrolment Date,
487,Alpha Pension Scheme,13/10/1997,31/01/2022,Enrolment Date,
488,Classic Civil Servant Pension,27/01/1997,28/02/2021,Enrolment Date,
489,Classic Civil Servant Pension,27/01/1997,31/08/2020,Enrolment Date,
490,Classic Plus Civil Servant Pension,27/01/1997,30/06/2020,Enrolment Date,
491,Alpha Pension Scheme,27/01/1997,31/01/2021,Enrolment Date,
492,Classic Civil Servant Pension,05/02/1996,31/07/2021,Enrolment Date,
493,Classic Civil Servant Pension,04/08/1997,31/10/2020,Enrolment Date,
494,Alpha Pension Scheme,12/08/1991,31/12/2018,Enrolment Date,
495,Alpha Pension Scheme,27/10/1997,30/11/2018,Enrolment Date,
496,Alpha Pension Scheme,07/04/1997,31/10/2021,Enrolment Date,
498,Classic Civil Servant Pension,14/04/1997,30/04/2021,Enrolment Date,
499,Classic Civil Servant Pension,24/02/1992,30/06/2019,Enrolment Date,
500,Alpha Pension Scheme,08/06/1998,31/10/2021,Enrolment Date,
501,Classic Civil Servant Pension,01/10/1998,30/06/2021,Enrolment Date,
502,Premium CS Added,21/09/1998,31/01/2021,Enrolment Date,
503,Alpha Pension Scheme,27/10/1997,30/11/2018,Enrolment Date,
504,Classic Civil Servant Pension,24/11/1997,30/06/2020,Enrolment Date,
505,Classic Plus Civil Servant Pension,01/12/1997,31/03/2022,Enrolment Date,
506,Classic Civil Servant Pension,01/12/1997,30/06/2019,Enrolment Date,
507,Classic Civil Servant Pension,26/01/1998,31/10/2021,Enrolment Date,
508,Classic Civil Servant Pension,26/01/1998,28/02/2022,Enrolment Date,
509,Alpha Pension Scheme,01/06/2019,30/06/2019,Enrolment Date,
510,Alpha Pension Scheme,12/09/1994,28/02/2022,Enrolment Date,
511,Classic Civil Servant Pension,26/10/1998,31/07/2020,Enrolment Date,
512,Alpha Pension Scheme,01/04/2022,31/10/2022,Enrolment Date,
514,Alpha Pension Scheme,17/11/1997,31/07/2022,Enrolment Date,
515,Classic Civil Servant Pension,08/12/1997,30/11/2020,Enrolment Date,
516,Classic Civil Servant Pension,08/12/1997,31/07/2019,Enrolment Date,
517,Classic Civil Servant Pension,05/01/1998,31/07/2019,Enrolment Date,
518,Classic Plus Civil Servant Pension,08/12/1997,31/10/2022,Enrolment Date,
520,Classic Civil Servant Pension,16/03/1998,31/08/2020,Enrolment Date,
521,Classic Civil Servant Pension,01/12/1997,30/04/2020,Enrolment Date,
522,Classic Civil Servant Pension,05/01/1998,31/03/2020,Enrolment Date,
523,Classic Plus Civil Servant Pension,04/05/1999,31/01/2021,Enrolment Date,
524,Alpha Pension Scheme,10/05/1999,30/09/2019,Enrolment Date,
525,Alpha Pension Scheme,10/05/1999,30/09/2022,Enrolment Date,
526,Alpha Pension Scheme,01/06/1998,31/03/2019,Enrolment Date,
528,Alpha Pension Scheme,08/06/1998,28/02/2021,Enrolment Date,
529,Classic Civil Servant Pension,15/06/1998,31/07/2022,Enrolment Date,
530,Alpha Pension Scheme,05/10/1998,30/11/2020,Enrolment Date,
531,Alpha Pension Scheme,05/10/1998,30/04/2022,Enrolment Date,
532,Alpha Pension Scheme,05/10/1998,31/10/2022,Enrolment Date,
533,Alpha Pension Scheme,01/04/2022,30/04/2022,Enrolment Date,
534,Alpha Pension Scheme,02/11/1998,31/08/2022,Enrolment Date,
535,Alpha Pension Scheme,15/03/1999,31/07/2020,Enrolment Date,
536,Classic Civil Servant Pension,02/08/1999,31/10/2020,Enrolment Date,
537,Alpha Pension Scheme,20/04/1999,30/11/2020,Enrolment Date,
538,Alpha Pension Scheme,04/05/1999,31/10/2021,Enrolment Date,
539,Alpha Pension Scheme,01/04/2022,30/09/2022,Enrolment Date,
540,Alpha Pension Scheme,01/04/2022,30/06/2022,Enrolment Date,
541,Alpha Pension Scheme,06/09/1999,31/10/2022,Enrolment Date,
542,Alpha Pension Scheme,24/01/2000,30/09/2020,Enrolment Date,
543,Classic CS Added,07/02/2000,31/03/2020,Enrolment Date,
545,Classic Civil Servant Pension,27/03/2000,31/03/2021,Enrolment Date,
546,Classic Civil Servant Pension,27/03/2000,30/11/2021,Enrolment Date,
547,Classic Civil Servant Pension,27/03/2000,31/07/2022,Enrolment Date,
548,Classic Civil Servant Pension,27/03/2000,31/03/2022,Enrolment Date,
549,Alpha Pension Scheme,03/04/2000,31/10/2022,Enrolment Date,
550,Classic Civil Servant Pension,02/05/2000,31/08/2019,Enrolment Date,
551,Classic Civil Servant Pension,08/05/2000,31/08/2021,Enrolment Date,
552,Classic Civil Servant Pension,22/05/2000,31/08/2022,Enrolment Date,
553,Classic Civil Servant Pension,22/05/2000,30/09/2022,Enrolment Date,
555,Alpha Pension Scheme,22/05/2000,31/10/2022,Enrolment Date,
556,Classic Civil Servant Pension,05/06/2000,30/06/2021,Enrolment Date,
559,Classic Civil Servant Pension,03/07/2000,30/06/2020,Enrolment Date,
560,Classic Civil Servant Pension,03/07/2000,31/03/2021,Enrolment Date,
561,Classic Civil Servant Pension,02/10/2000,31/01/2022,Enrolment Date,
562,Alpha Pension Scheme,02/10/2000,28/02/2019,Enrolment Date,
563,Premium Civil Servant Pension,16/10/2000,31/03/2021,Enrolment Date,
565,Classic Civil Servant Pension,23/10/2000,31/03/2021,Enrolment Date,
566,Alpha Pension Scheme,01/04/2022,31/10/2022,Enrolment Date,
567,Alpha Pension Scheme,01/04/2022,31/10/2022,Enrolment Date,
568,Alpha Pension Scheme,13/11/2000,30/06/2022,Enrolment Date,
570,Premium Civil Servant Pension,27/11/2000,31/03/2019,Enrolment Date,
572,Classic Civil Servant Pension,02/01/2001,31/03/2020,Enrolment Date,
573,Alpha Pension Scheme,08/01/2001,31/10/2022,Enrolment Date,
574,Premium Civil Servant Pension,15/01/2001,31/03/2020,Enrolment Date,
576,Alpha Pension Scheme,12/02/2001,31/10/2021,Enrolment Date,
577,Alpha Pension Scheme,01/04/2022,30/09/2022,Enrolment Date,
578,Premium Civil Servant Pension,02/04/2001,31/01/2022,Enrolment Date,
579,Alpha Pension Scheme,08/05/2001,31/10/2022,Enrolment Date,
580,Classic Civil Servant Pension,14/05/2001,31/10/2022,Enrolment Date,
581,Alpha Pension Scheme,23/07/2001,29/02/2020,Enrolment Date,
582,Classic Civil Servant Pension,03/09/2001,31/01/2019,Enrolment Date,
583,Alpha Pension Scheme,03/09/2001,30/11/2020,Enrolment Date,
584,Classic Civil Servant Pension,03/09/2001,30/11/2018,Enrolment Date,
585,Classic Civil Servant Pension,03/09/2001,31/03/2021,Enrolment Date,
586,Classic Civil Servant Pension,03/09/2001,31/07/2020,Enrolment Date,
588,Premium Civil Servant Pension,17/09/2001,31/03/2022,Enrolment Date,
589,Classic Civil Servant Pension,24/09/2001,30/06/2022,Enrolment Date,
590,Classic Civil Servant Pension,24/09/2001,31/07/2019,Enrolment Date,
591,Alpha Pension Scheme,24/09/2001,31/03/2020,Enrolment Date,
592,Classic Plus Civil Servant Pension,24/09/2001,30/09/2019,Enrolment Date,
593,Alpha Pension Scheme,25/09/2001,31/03/2022,Enrolment Date,
594,Classic Civil Servant Pension,01/10/2001,28/02/2022,Enrolment Date,
595,Alpha Pension Scheme,01/10/2001,31/01/2022,Enrolment Date,
596,Classic Civil Servant Pension,03/10/2001,30/09/2019,Enrolment Date,
597,Classic Plus Civil Servant Pension,03/10/2001,31/10/2022,Enrolment Date,
598,Alpha Pension Scheme,03/10/2001,28/02/2021,Enrolment Date,
599,Alpha Pension Scheme,22/10/2001,28/02/2021,Enrolment Date,
600,Classic Civil Servant Pension,22/10/2001,30/04/2021,Enrolment Date,
601,Classic Civil Servant Pension,22/10/2001,31/05/2021,Enrolment Date,
602,Classic Civil Servant Pension,29/10/2001,31/08/2021,Enrolment Date,
603,Alpha Pension Scheme,01/04/2022,31/10/2022,Enrolment Date,
604,Classic Civil Servant Pension,22/10/2001,31/08/2020,Enrolment Date,
606,Alpha Pension Scheme,29/10/2001,31/07/2021,Enrolment Date,
607,Alpha Pension Scheme,29/10/2001,29/02/2020,Enrolment Date,
610,Premium Civil Servant Pension,05/11/2001,30/11/2018,Enrolment Date,
611,Alpha Pension Scheme,03/12/2001,28/02/2021,Enrolment Date,
612,Alpha Pension Scheme,03/12/2001,31/05/2019,Enrolment Date,
614,Classic Civil Servant Pension,07/01/2002,30/04/2020,Enrolment Date,
615,Premium Civil Servant Pension,02/01/2002,31/12/2020,Enrolment Date,
616,Classic Civil Servant Pension,21/01/2002,28/02/2021,Enrolment Date,
617,Alpha Pension Scheme,28/01/2002,31/03/2019,Enrolment Date,
618,Alpha Pension Scheme,28/01/2002,31/01/2019,Enrolment Date,
619,Alpha Pension Scheme,28/01/2002,31/10/2019,Enrolment Date,
620,Alpha Pension Scheme,04/02/2002,31/10/2022,Enrolment Date,
623,Alpha Pension Scheme,01/03/2002,29/02/2020,Enrolment Date,
624,Classic Civil Servant Pension,04/03/2002,30/04/2019,Enrolment Date,
625,Alpha Pension Scheme,11/03/2002,31/07/2021,Enrolment Date,
627,Classic Civil Servant Pension,13/05/2002,31/01/2019,Enrolment Date,
628,Classic Civil Servant Pension,05/08/2002,31/03/2020,Enrolment Date,
630,Alpha Pension Scheme,05/08/2002,31/10/2021,Enrolment Date,
632,Alpha Pension Scheme,12/08/2002,31/03/2020,Enrolment Date,
633,Alpha Pension Scheme,09/09/2002,31/01/2022,Enrolment Date,
634,Alpha Pension Scheme,01/04/2022,31/10/2022,Enrolment Date,
636,Classic CS Added,09/09/2002,31/08/2022,Enrolment Date,
637,Classic Civil Servant Pension,16/09/2002,30/06/2021,Enrolment Date,
638,Alpha Pension Scheme,16/09/2002,31/03/2019,Enrolment Date,
639,Classic Civil Servant Pension,23/09/2002,31/07/2021,Enrolment Date,
640,Classic Civil Servant Pension,23/09/2002,31/07/2020,Enrolment Date,
641,Premium Civil Servant Pension,02/10/2002,31/01/2020,Enrolment Date,
642,Premium Civil Servant Pension,02/10/2002,31/08/2019,Enrolment Date,
645,Alpha Pension Scheme,21/10/2002,28/02/2021,Enrolment Date,
646,Alpha Pension Scheme,21/10/2002,31/08/2022,Enrolment Date,
647,Alpha Pension Scheme,01/04/2022,31/05/2022,Enrolment Date,
648,Premium Civil Servant Pension,28/10/2002,30/04/2020,Enrolment Date,
649,Alpha Pension Scheme,29/10/2002,31/03/2022,Enrolment Date,
650,Alpha Pension Scheme,04/11/2002,31/07/2019,Enrolment Date,
651,Alpha Pension Scheme,04/11/2002,31/03/2020,Enrolment Date,
653,Alpha Pension Scheme,01/04/2022,31/10/2022,Enrolment Date,
654,Alpha Pension Scheme,13/01/2003,30/11/2021,Enrolment Date,
655,Alpha Pension Scheme,17/02/2003,31/05/2022,Enrolment Date,
656,Premium Civil Servant Pension,07/04/2003,31/03/2021,Enrolment Date,
657,Alpha Pension Scheme,07/04/2003,31/01/2022,Enrolment Date,
658,Alpha Pension Scheme,07/04/2003,31/10/2022,Enrolment Date,
659,Alpha Pension Scheme,08/04/2003,31/10/2021,Enrolment Date,
660,Premium Civil Servant Pension,08/04/2003,31/01/2022,Enrolment Date,
661,Premium Civil Servant Pension,08/04/2003,31/12/2018,Enrolment Date,
662,Alpha Pension Scheme,01/04/2022,31/10/2022,Enrolment Date,
663,Alpha Pension Scheme,28/04/2003,30/09/2019,Enrolment Date,
664,Alpha Pension Scheme,23/06/2003,30/11/2018,Enrolment Date,
665,Premium Civil Servant Pension,21/07/2003,30/04/2021,Enrolment Date,
666,Premium Civil Servant Pension,01/09/2003,31/01/2020,Enrolment Date,
668,Alpha Pension Scheme,03/11/2003,30/11/2021,Enrolment Date,
669,Premium Civil Servant Pension,09/12/2003,31/12/2021,Enrolment Date,
670,Premium Civil Servant Pension,05/01/2004,31/01/2022,Enrolment Date,
671,Premium Civil Servant Pension,01/12/2004,31/12/2019,Enrolment Date,
672,Alpha Pension Scheme,13/04/2004,30/06/2021,Enrolment Date,
673,Alpha Pension Scheme,13/04/2004,31/07/2022,Enrolment Date,
674,Alpha Pension Scheme,13/04/2004,31/10/2020,Enrolment Date,
675,Alpha Pension Scheme,19/04/2004,31/01/2022,Enrolment Date,
676,Premium Civil Servant Pension,19/04/2004,31/03/2021,Enrolment Date,
677,Alpha Pension Scheme,19/04/2004,31/01/2022,Enrolment Date,
678,Alpha Pension Scheme,19/04/2004,31/05/2020,Enrolment Date,
679,Alpha Pension Scheme,19/04/2004,31/08/2019,Enrolment Date,
680,Premium Civil Servant Pension,19/04/2004,31/03/2022,Enrolment Date,
681,Premium Civil Servant Pension,19/04/2004,30/04/2021,Enrolment Date,
682,Alpha Pension Scheme,26/04/2004,31/12/2021,Enrolment Date,
683,Alpha Pension Scheme,26/04/2004,30/09/2019,Enrolment Date,
684,Alpha Pension Scheme,26/04/2004,31/05/2019,Enrolment Date,
685,Alpha Pension Scheme,12/07/2004,31/05/2019,Enrolment Date,
686,Alpha Pension Scheme,14/07/2004,30/04/2022,Enrolment Date,
687,Premium Civil Servant Pension,26/07/2004,28/02/2022,Enrolment Date,
690,Premium Civil Servant Pension,21/03/2005,31/03/2019,Enrolment Date,
691,Alpha Pension Scheme,03/10/2005,31/10/2022,Enrolment Date,
692,Alpha Pension Scheme,14/11/2005,31/10/2022,Enrolment Date,
693,Alpha Pension Scheme,09/01/2006,31/01/2022,Enrolment Date,
694,Alpha Pension Scheme,01/04/2022,31/10/2022,Enrolment Date,
695,Premium Civil Servant Pension,01/03/2006,30/06/2021,Enrolment Date,
697,Alpha Pension Scheme,24/04/2006,31/03/2020,Enrolment Date,
698,Premium Civil Servant Pension,17/07/2006,31/08/2021,Enrolment Date,
699,Premium Civil Servant Pension,16/10/2006,30/09/2020,Enrolment Date,
700,Alpha Pension Scheme,02/01/2007,30/11/2020,Enrolment Date,
701,Alpha Pension Scheme,05/02/2007,31/01/2019,Enrolment Date,
702,Premium Civil Servant Pension,05/02/2007,31/03/2020,Enrolment Date,
703,Alpha Pension Scheme,01/06/2019,31/12/2019,Enrolment Date,
704,Alpha Pension Scheme,01/02/2007,31/08/2022,Enrolment Date,
705,Alpha Pension Scheme,08/02/2007,31/07/2020,Enrolment Date,
706,Alpha Pension Scheme,12/02/2007,30/06/2019,Enrolment Date,
707,Alpha Pension Scheme,01/04/2022,31/07/2022,Enrolment Date,
709,Alpha Pension Scheme,19/02/2007,31/10/2022,Enrolment Date,
710,Classic Plus Civil Servant Pension,19/02/2007,30/06/2019,Enrolment Date,
711,Alpha Pension Scheme,19/03/2007,31/01/2019,Enrolment Date,
713,Alpha Pension Scheme,12/03/2007,30/09/2019,Enrolment Date,
714,Premium Civil Servant Pension,12/03/2007,30/04/2020,Enrolment Date,
715,Premium Civil Servant Pension,10/04/2007,31/12/2021,Enrolment Date,
717,Alpha Pension Scheme,30/04/2007,30/04/2022,Enrolment Date,
718,Alpha Pension Scheme,10/09/2007,31/10/2022,Enrolment Date,
719,Alpha Pension Scheme,10/09/2007,31/12/2020,Enrolment Date,
720,Alpha Pension Scheme,17/09/2007,29/02/2020,Enrolment Date,
721,L&G Defined Contribution Pension,19/05/2022,31/10/2022,Enrolment Date,
723,Alpha Pension Scheme,18/02/2008,31/10/2022,Enrolment Date,
724,Alpha Pension Scheme,07/07/2008,28/02/2022,Enrolment Date,
725,Alpha Pension Scheme,01/10/2009,31/12/2021,Enrolment Date,
727,Alpha Pension Scheme,01/03/2011,30/04/2022,Enrolment Date,
728,Alpha Pension Scheme,01/06/2011,31/12/2018,Enrolment Date,
729,Alpha Pension Scheme,03/06/2013,31/12/2018,Enrolment Date,
730,Alpha Pension Scheme,01/06/2013,31/12/2019,Enrolment Date,
731,Alpha Pension Scheme,01/06/2019,30/09/2021,Enrolment Date,
732,Alpha Pension Scheme,16/12/2013,31/03/2019,Enrolment Date,
733,Alpha Pension Scheme,02/06/2014,31/03/2019,Enrolment Date,
734,Alpha Pension Scheme,22/07/2014,31/05/2019,Enrolment Date,
736,Alpha Pension Scheme,01/09/2014,31/07/2022,Enrolment Date,
737,Alpha Pension Scheme,01/09/2014,31/10/2022,Enrolment Date,
738,Alpha Pension Scheme,09/09/2014,30/04/2021,Enrolment Date,
741,Alpha Pension Scheme,15/09/2014,31/07/2020,Enrolment Date,
742,Alpha Pension Scheme,29/09/2014,31/05/2019,Enrolment Date,
743,Alpha Pension Scheme,01/06/2019,28/02/2021,Enrolment Date,
744,Alpha Pension Scheme,13/10/2014,31/01/2020,Enrolment Date,
745,Alpha Pension Scheme,13/10/2014,31/01/2020,Enrolment Date,
747,Alpha Pension Scheme,13/10/2014,28/02/2022,Enrolment Date,
749,Alpha Pension Scheme,10/11/2014,31/10/2021,Enrolment Date,
751,Alpha Pension Scheme,01/02/2015,28/02/2022,Enrolment Date,
752,Alpha Pension Scheme,19/01/2015,31/10/2022,Enrolment Date,
753,Alpha Pension Scheme,09/02/2015,31/10/2020,Enrolment Date,
754,Alpha Pension Scheme,09/03/2015,31/03/2020,Enrolment Date,
755,Alpha Pension Scheme,23/02/2015,30/09/2021,Enrolment Date,
756,Nuvos Civil Servant Pension,09/03/2015,31/03/2021,Enrolment Date,
757,Alpha Pension Scheme,01/04/2015,31/10/2022,Enrolment Date,
758,Alpha Pension Scheme,12/05/2022,31/10/2022,Enrolment Date,
759,Alpha Pension Scheme,11/05/2015,30/06/2019,Enrolment Date,
761,Alpha Pension Scheme,15/06/2015,30/06/2019,Enrolment Date,
762,Alpha Pension Scheme,07/07/2015,31/05/2022,Enrolment Date,
763,Alpha Pension Scheme,06/07/2015,31/01/2019,Enrolment Date,
764,Classic Civil Servant Pension,01/08/2015,30/09/2020,Enrolment Date,
765,Alpha Pension Scheme,22/07/2015,31/12/2020,Enrolment Date,
766,Alpha Pension Scheme,14/09/2015,30/09/2020,Enrolment Date,
767,Alpha Pension Scheme,14/09/2015,31/05/2019,Enrolment Date,
771,Alpha Pension Scheme,12/10/2015,31/08/2020,Enrolment Date,
773,Alpha Pension Scheme,12/10/2015,28/02/2022,Enrolment Date,
774,Alpha Pension Scheme,12/10/2015,31/07/2022,Enrolment Date,
775,Alpha Pension Scheme,12/10/2015,31/01/2022,Enrolment Date,
776,Alpha Pension Scheme,12/10/2015,28/02/2019,Enrolment Date,
777,Alpha Pension Scheme,12/10/2015,30/11/2018,Enrolment Date,
778,Alpha Pension Scheme,01/06/2019,30/06/2019,Enrolment Date,
779,Alpha Pension Scheme,16/11/2015,31/07/2021,Enrolment Date,
780,Alpha Pension Scheme,16/11/2015,31/10/2022,Enrolment Date,
782,Alpha Pension Scheme,16/11/2015,31/05/2022,Enrolment Date,
783,Alpha Pension Scheme,16/11/2015,31/12/2020,Enrolment Date,
784,Alpha Pension Scheme,16/11/2015,31/12/2021,Enrolment Date,
786,Alpha Pension Scheme,16/11/2015,24/07/2021,Enrolment Date,
787,Alpha Pension Scheme,16/11/2015,31/07/2020,Enrolment Date,
788,Alpha Pension Scheme,16/11/2015,31/01/2021,Enrolment Date,
789,Alpha Pension Scheme,16/11/2015,31/03/2022,Enrolment Date,
792,Alpha Pension Scheme,16/11/2015,31/07/2019,Enrolment Date,
793,Alpha Pension Scheme,16/11/2015,31/10/2022,Enrolment Date,
794,Alpha Pension Scheme,16/11/2015,31/10/2019,Enrolment Date,
796,Classic Civil Servant Pension,16/11/2015,30/06/2019,Enrolment Date,
798,Alpha Pension Scheme,16/11/2015,31/10/2021,Enrolment Date,
799,Alpha Pension Scheme,01/12/2015,30/04/2021,Enrolment Date,
800,Alpha Pension Scheme,23/11/2015,31/05/2020,Enrolment Date,
801,Classic Civil Servant Pension,16/11/2015,31/08/2022,Enrolment Date,
802,Alpha Pension Scheme,25/01/2016,31/05/2020,Enrolment Date,
803,Alpha Pension Scheme,11/01/2016,31/08/2021,Enrolment Date,
804,Alpha Pension Scheme,03/02/2016,31/03/2020,Enrolment Date,
805,Alpha Pension Scheme,27/06/2017,31/08/2019,Enrolment Date,
806,Alpha Pension Scheme,08/01/2018,31/07/2019,Enrolment Date,
807,Alpha Pension Scheme,09/01/2018,30/09/2019,Enrolment Date,
808,Alpha Pension Scheme,05/06/2017,30/06/2021,Enrolment Date,
809,Alpha Pension Scheme,01/03/2016,31/05/2022,Enrolment Date,
810,Alpha Pension Scheme,01/03/2016,31/08/2020,Enrolment Date,
811,Alpha Pension Scheme,01/03/2016,30/06/2021,Enrolment Date,
812,Alpha Pension Scheme,01/04/2016,31/10/2021,Enrolment Date,
816,Alpha Pension Scheme,25/04/2016,31/12/2018,Enrolment Date,
817,Alpha Pension Scheme,25/04/2016,30/11/2020,Enrolment Date,
820,Alpha Pension Scheme,25/04/2016,30/04/2019,Enrolment Date,
821,Alpha Pension Scheme,25/04/2016,31/05/2019,Enrolment Date,
822,Alpha Pension Scheme,25/04/2016,31/03/2020,Enrolment Date,
823,Alpha Pension Scheme,25/04/2016,31/12/2018,Enrolment Date,
827,Alpha Pension Scheme,25/04/2016,30/11/2019,Enrolment Date,
828,Alpha Pension Scheme,25/04/2016,30/06/2021,Enrolment Date,
829,Alpha Pension Scheme,25/04/2016,31/05/2022,Enrolment Date,
